Location,Province
Darwin,Northern Territory
Palmerston,Northern Territory
Brisbane,Queensland
Bundaberg,Queensland
Caboolture,Queensland
Cairns,Queensland
Caloundra,Queensland
Gladstone,Queensland
Gold Coast,Queensland
Gympie,Queensland
Hervey Bay,Queensland
Ipswich,Queensland
Logan City,Queensland
Mackay,Queensland
Maryborough,Queensland
Mount Isa,Queensland
Rockhampton,Queensland
Sunshine Coast,Queensland
Toowoomba,Queensland
Townsville,Queensland
Charters Towers,Queensland
Redcliffe City,Queensland
Redland City,Queensland
Thuringowa,Queensland
Warwick,Queensland
Adelaide,South Australia
Mount Barker,South Australia
Mount Gambier,South Australia
Murray Bridge,South Australia
Port Adelaide,South Australia
Port Augusta,South Australia
Port Pirie,South Australia
Port Lincoln,South Australia
Victor Harbor,South Australia
Whyalla,South Australia
Hobart,Tasmania
Burnie,Tasmania
Devonport,Tasmania
Launceston,Tasmania
Melbourne,Victoria
Ararat,Victoria
Bairnsdale,Victoria
Benalla,Victoria
Ballarat,Victoria
Bendigo,Victoria
Dandenong,Victoria
Frankston,Victoria
Geelong,Victoria
Hamilton,Victoria
Horsham,Victoria
Latrobe City,Victoria
Melton,Victoria
Mildura,Victoria
Sale,Victoria
Shepparton,Victoria
Swan Hill,Victoria
Wangaratta,Victoria
Warrnambool,Victoria
Wodonga,Victoria
Perth,Western Australia
Albany,Western Australia
Bunbury,Western Australia
Busselton,Western Australia
Fremantle,Western Australia
Geraldton,Western Australia
Joondalup,Western Australia
Kalgoorlie,Western Australia
Karratha,Western Australia
Mandurah,Western Australia
Rockingham,Western Australia
City of Armadale,Western Australia
City of Bayswater,Western Australia
City of Canning,Western Australia
City of Cockburn,Western Australia
City of Gosnells,Western Australia
City of Kalamunda,Western Australia
City of Kwinana,Western Australia
City of Melville,Western Australia
City of Nedlands,Western Australia
City of South Perth,Western Australia
City of Stirling,Western Australia
City of Subiaco,Western Australia
Sydney,New South Wales
Albury,New South Wales
Armidale,New South Wales
Bathurst,New South Wales
Blue Mountains,New South Wales
Broken Hill,New South Wales
Campbelltown[a],New South Wales
Cessnock,New South Wales
Dubbo,New South Wales
Goulburn,New South Wales
Grafton,New South Wales
Lithgow,New South Wales
Liverpool[a],New South Wales
Newcastle,New South Wales
Orange,New South Wales
Parramatta[a],New South Wales
Penrith[a],New South Wales
Queanbeyan,New South Wales
Tamworth,New South Wales
Wagga Wagga,New South Wales
Wollongong,New South Wales
Blacktown,New South Wales
Canada Bay,New South Wales
Coffs Harbour,New South Wales
Fairfield,New South Wales
Griffith,New South Wales
Hawkesbury,New South Wales
Lake Macquarie,New South Wales
Lismore,New South Wales
Maitland,New South Wales
Randwick[a],New South Wales
Ryde,New South Wales
Shellharbour,New South Wales
Shoalhaven,New South Wales
Willoughby,New South Wales
Bankstown,New South Wales
Botany Bay,New South Wales
Canterbury ,New South Wales
Dubbo ,New South Wales
Gosford ,New South Wales
Greater Taree,New South Wales
Holroyd ,New South Wales
Hurstville ,New South Wales
Queanbeyan ,New South Wales
Rockdale ,New South Wales
AliceSprings,Northern Territory
BadgerysCreek,New South Wales
Canberra,New South Wales
Cobar,New South Wales
CoffsHarbour,New South Wales
Dartmoor,Victoria
GoldCoast,Queensland
Katherine,Northern Territory
MelbourneAirport,Victoria
Moree,New South Wales
MountGambier,South Australia
MountGinini,New South Wales
Nhil,Victoria
NorahHead,New South Wales
NorfolkIsland,External Territory
Nuriootpa,South Australia
PearceRAAF,Western Australia
Penrith,New South Wales
PerthAirport,Western Australia
Portland,Victoria
Richmond,Victoria
SalmonGums,Western Australia
SydneyAirport,New South Wales
Tuggeranong,New South Wales
Uluru,Northern Territory
WaggaWagga,New South Wales
Walpole,Western Australia
Watsonia,Victoria
Williamtown,New South Wales
Witchcliffe,Western Australia
Woomera,South Australia
